Символ,Код,Плотность
' ',32,0.0000
'\xa0',160,0.0000
'¸',184,0.0125
"'",39,0.0250
'.',46,0.0250
'`',96,0.0250
'¯',175,0.0250
'´',180,0.0250
'·',183,0.0250
'-',45,0.0312
'\xad',173,0.0312
'¨',168,0.0375
':',58,0.0500
',',44,0.0563
'_',95,0.0563
'¡',161,0.0563
'!',33,0.0625
'~',126,0.0625
'¬',172,0.0688
'^',94,0.0750
'¦',166,0.0750
'+',43,0.0813
'>',62,0.0813
';',59,0.0875
'<',60,0.0875
'=',61,0.0875
'r',114,0.0875
'°',176,0.0875
'¹',185,0.0875
'»',187,0.0875
'L',76,0.0938
'|',124,0.0938
'²',178,0.0938
'"',34,0.1000
'/',47,0.1000
'T',84,0.1000
's',115,0.1000
'¿',191,0.1000
'\\',92,0.1062
'i',105,0.1062
'³',179,0.1062
'F',70,0.1125
'c',99,0.1125
'«',171,0.1125
'×',215,0.1125
')',41,0.1187
'*',42,0.1187
'?',63,0.1187
'l',108,0.1187
'v',118,0.1187
'z',122,0.1187
'º',186,0.1187
'(',40,0.1250
'I',73,0.1250
'[',91,0.1250
']',93,0.1250
't',116,0.1250
'}',125,0.1250
'ç',231,0.1250
'7',55,0.1313
'o',111,0.1313
'±',177,0.1313
'2',50,0.1375
'C',67,0.1375
'E',69,0.1375
'Y',89,0.1375
'e',101,0.1375
'Ì',204,0.1375
'Í',205,0.1375
'J',74,0.1437
'x',120,0.1437
'ª',170,0.1437
'Î',206,0.1437
'Ï',207,0.1437
'3',51,0.1500
'5',53,0.1500
'U',85,0.1500
'y',121,0.1500
'Ç',199,0.1500
'È',200,0.1500
'É',201,0.1500
'Ý',221,0.1500
'H',72,0.1562
'Z',90,0.1562
'w',119,0.1562
'£',163,0.1562
'Ê',202,0.1562
'Ë',203,0.1562
'S',83,0.1625
'm',109,0.1625
'{',123,0.1625
'¤',164,0.1625
'®',174,0.1625
'Ù',217,0.1625
'Ú',218,0.1625
'1',49,0.1688
'Û',219,0.1688
'Ü',220,0.1688
'a',97,0.1750
'j',106,0.1750
'6',54,0.1812
'G',71,0.1812
'O',79,0.1812
'V',86,0.1812
'f',102,0.1812
'æ',230,0.1812
'D',68,0.1875
'n',110,0.1875
'u',117,0.1875
'\x7f',127,0.1875
'\x80',128,0.1875
'\x81',129,0.1875
'\x82',130,0.1875
'\x83',131,0.1875
'\x84',132,0.1875
'\x85',133,0.1875
'\x86',134,0.1875
'\x87',135,0.1875
'\x88',136,0.1875
'\x89',137,0.1875
'\x8a',138,0.1875
'\x8b',139,0.1875
'\x8c',140,0.1875
'\x8d',141,0.1875
'\x8e',142,0.1875
'\x8f',143,0.1875
'\x90',144,0.1875
'\x91',145,0.1875
'\x92',146,0.1875
'\x93',147,0.1875
'\x94',148,0.1875
'\x95',149,0.1875
'\x96',150,0.1875
'\x97',151,0.1875
'\x98',152,0.1875
'\x99',153,0.1875
'\x9a',154,0.1875
'\x9b',155,0.1875
'\x9c',156,0.1875
'\x9d',157,0.1875
'\x9e',158,0.1875
'\x9f',159,0.1875
'N',78,0.1938
'¥',165,0.1938
'µ',181,0.1938
'½',189,0.1938
'Ò',210,0.1938
'Ó',211,0.1938
'#',35,0.2000
'0',48,0.2000
'9',57,0.2000
'X',88,0.2000
'q',113,0.2000
'¢',162,0.2000
'Ô',212,0.2000
'Ö',214,0.2000
'à',224,0.2000
'á',225,0.2000
'P',80,0.2062
'¼',188,0.2062
'Æ',198,0.2062
'Ð',208,0.2062
'Õ',213,0.2062
'â',226,0.2062
'A',65,0.2125
'Þ',222,0.2125
'ä',228,0.2125
'4',52,0.2188
'K',75,0.2188
'M',77,0.2188
'd',100,0.2188
'k',107,0.2188
'¾',190,0.2188
'Ñ',209,0.2188
'Q',81,0.2250
'R',82,0.2250
'W',87,0.2250
'p',112,0.2250
'À',192,0.2250
'Á',193,0.2250
'ã',227,0.2250
'å',229,0.2250
'$',36,0.2313
'b',98,0.2313
'Â',194,0.2313
'Ä',196,0.2313
'8',56,0.2375
'h',104,0.2375
'Ã',195,0.2375
'Å',197,0.2375
'g',103,0.2437
'§',167,0.2500
'ß',223,0.2500
'B',66,0.2562
'%',37,0.2625
'&',38,0.2625
'©',169,0.2625
'Ø',216,0.2687
'¶',182,0.3187
'@',64,0.3312
